City,State,Type,Population [2011],Popuation [2001],Rate For 10 Years(%),Rate for 1 Year(%),Rate for 1 Month(%),New Population for 2021,Population Estimated for 2021,Growth Rate till 2020,New Population till 2020,Population Estimated for 2020,Growth Rate till 2020,New Population till 2019,Population Estimated for 2019,Rate For Jan to Aug(%),New Population for 2020 Aug,Population Estimated for 2020 Till Aug
Sopore,Jammu and Kashmir,UA,"66,963",,31.6182944,3.16182944,0.263485787,21172,88135,28.45646496,19055,86018,25.29463552,16938,83901,2.107886296,1411,85312
Pilkhuwa,Uttar Pradesh,MB,"66,907",,31.6182944,3.16182944,0.263485787,21154,88061,28.45646496,19039,85946,25.29463552,16923,83830,2.107886296,1410,85240
Tarn Taran,Punjab,MCl,"66,847",,16.42975858,1.642975858,0.136914655,10982,77829,14.78678272,9884,76731,13.14380686,8786,75633,1.09531724,732,76365
Renukoot,Uttar Pradesh,UA,"66,597",,31.6182944,3.16182944,0.263485787,21056,87653,28.45646496,18951,85548,25.29463552,16845,83442,2.107886296,1403,84845
Mandamarri,Telangana,M,"66,596",,29.0798451,2.90798451,0.242332043,19366,85962,26.17186059,17429,84025,23.26387608,15492,82088,1.938656344,1291,83379
Shahabad,Karnataka,UA,"66,550",,31.6182944,3.16182944,0.263485787,21041,87591,28.45646496,18937,85487,25.29463552,16833,83383,2.107886296,1402,84785
Barbil,Odisha,M,"66,540",,29.0798451,2.90798451,0.242332043,19349,85889,26.17186059,17414,83954,23.26387608,15479,82019,1.938656344,1289,83308
Koratla,Telangana,M,"66,504",,29.0798451,2.90798451,0.242332043,19339,85843,26.17186059,17405,83909,23.26387608,15471,81975,1.938656344,1289,83264
Madhubani,Bihar,M,"66,340",,29.0798451,2.90798451,0.242332043,19291,85631,26.17186059,17362,83702,23.26387608,15433,81773,1.938656344,1286,83059
Arambagh,West Bengal,M,"66,175",,29.0798451,2.90798451,0.242332043,19243,85418,26.17186059,17319,83494,23.26387608,15394,81569,1.938656344,1282,82851
Puliyankudi,Tamil Nadu,M,"66,000",,29.0798451,2.90798451,0.242332043,19192,85192,26.17186059,17273,83273,23.26387608,15354,81354,1.938656344,1279,82633
Gohana,Haryana,MC,"65,708",,11.42467203,1.142467203,0.0952056,7506,73214,10.28220483,6756,72464,9.139737624,6005,71713,0.7616448,500,72213
Ladnu,Rajasthan,M,"65,575",,29.0798451,2.90798451,0.242332043,19069,84644,26.17186059,17162,82737,23.26387608,15255,80830,1.938656344,1271,82101
Pattukkottai,Tamil Nadu,M,"65,533",,29.0798451,2.90798451,0.242332043,19056,84589,26.17186059,17151,82684,23.26387608,15245,80778,1.938656344,1270,82048
Sirsi,Karnataka,UA,"65,335",,31.6182944,3.16182944,0.263485787,20657,85992,28.45646496,18592,83927,25.29463552,16526,81861,2.107886296,1377,83238
Sircilla,Telangana,M,"65,314",,29.0798451,2.90798451,0.242332043,18993,84307,26.17186059,17093,82407,23.26387608,15194,80508,1.938656344,1266,81774
Tamluk,West Bengal,M,"65,306",,29.0798451,2.90798451,0.242332043,18990,84296,26.17186059,17091,82397,23.26387608,15192,80498,1.938656344,1266,81764
Jagraon,Punjab,MCl,"65,240",,16.42975858,1.642975858,0.136914655,10718,75958,14.78678272,9646,74886,13.14380686,8575,73815,1.09531724,714,74529
Alirajpur,Madhya Pradesh,M,"65,232",,29.0798451,2.90798451,0.242332043,18969,84201,26.17186059,17072,82304,23.26387608,15175,80407,1.938656344,1264,81671
Alipurduar,West Bengal,M,"65,232",,29.0798451,2.90798451,0.242332043,18969,84201,26.17186059,17072,82304,23.26387608,15175,80407,1.938656344,1264,81671
Tandur,Telangana,M,"65,115",,29.0798451,2.90798451,0.242332043,18935,84050,26.17186059,17041,82156,23.26387608,15148,80263,1.938656344,1262,81525
Naidupet,Andhra Pradesh,M,"65,000",,29.0798451,2.90798451,0.242332043,18901,83901,26.17186059,17011,82011,23.26387608,15121,80121,1.938656344,1260,81381
Tiruppur,Tamil Nadu,UA,"64,725",,31.6182944,3.16182944,0.263485787,20464,85189,28.45646496,18418,83143,25.29463552,16371,81096,2.107886296,1364,82460
Tirupathur,Tamil Nadu,M,"64,125",,29.0798451,2.90798451,0.242332043,18647,82772,26.17186059,16782,80907,23.26387608,14917,79042,1.938656344,1243,80285
Tohana,Haryana,MC,"63,871",,11.42467203,1.142467203,0.0952056,7297,71168,10.28220483,6567,70438,9.139737624,5837,69708,0.7616448,486,70194
Chikkaballapur,Karnataka,CMC,"63,652",,31.6182944,3.16182944,0.263485787,20125,83777,28.45646496,18113,81765,25.29463552,16100,79752,2.107886296,1341,81093
Ratangarh,Rajasthan,M,"63,486",,29.0798451,2.90798451,0.242332043,18461,81947,26.17186059,16615,80101,23.26387608,14769,78255,1.938656344,1230,79485
Dhubri,Assam,MB,"63,388",,31.6182944,3.16182944,0.263485787,20042,83430,28.45646496,18037,81425,25.29463552,16033,79421,2.107886296,1336,80757
Masaurhi,Bihar,NPd,"63,248",,31.6182944,3.16182944,0.263485787,19997,83245,28.45646496,17998,81246,25.29463552,15998,79246,2.107886296,1333,80579
Visnagar,Gujarat,M,"63,073",,29.0798451,2.90798451,0.242332043,18341,81414,26.17186059,16507,79580,23.26387608,14673,77746,1.938656344,1222,78968
Vrindavan,Uttar Pradesh,MB,"63,005",,31.6182944,3.16182944,0.263485787,19921,82926,28.45646496,17928,80933,25.29463552,15936,78941,2.107886296,1328,80269
Nokha,Rajasthan,M,"62,699",,29.0798451,2.90798451,0.242332043,18232,80931,26.17186059,16409,79108,23.26387608,14586,77285,1.938656344,1215,78500
Nagari,Andhra Pradesh,M,"62,253",,29.0798451,2.90798451,0.242332043,18103,80356,26.17186059,16292,78545,23.26387608,14482,76735,1.938656344,1206,77941
Chidambaram,Tamil nadu,T,"62,153",,31.6182944,3.16182944,0.263485787,19651,81804,28.45646496,17686,79839,25.29463552,15721,77874,2.107886296,1310,79184
Narwana,Haryana,MCl,"62,090",,16.42975858,1.642975858,0.136914655,10201,72291,14.78678272,9181,71271,13.14380686,8160,70250,1.09531724,680,70930
Ramanathapuram,Tamil Nadu,M,"62,050",,29.0798451,2.90798451,0.242332043,18044,80094,26.17186059,16239,78289,23.26387608,14435,76485,1.938656344,1202,77687
Ujhani,Uttar Pradesh,NPP,"62,039",,31.6182944,3.16182944,0.263485787,19615,81654,28.45646496,17654,79693,25.29463552,15692,77731,2.107886296,1307,79038
Samastipur,Bihar,UA,"61,998",,31.6182944,3.16182944,0.263485787,19602,81600,28.45646496,17642,79640,25.29463552,15682,77680,2.107886296,1306,78986
Laharpur,Uttar Pradesh,NPP,"61,990",,31.6182944,3.16182944,0.263485787,19600,81590,28.45646496,17640,79630,25.29463552,15680,77670,2.107886296,1306,78976
Sangamner,Maharashtra,MCl,"61,958",,16.42975858,1.642975858,0.136914655,10179,72137,14.78678272,9161,71119,13.14380686,8143,70101,1.09531724,678,70779
Nimbahera,Rajasthan,M,"61,949",,29.0798451,2.90798451,0.242332043,18014,79963,26.17186059,16213,78162,23.26387608,14411,76360,1.938656344,1200,77560
Siddipet,Telangana,M,"61,809",,29.0798451,2.90798451,0.242332043,17973,79782,26.17186059,16176,77985,23.26387608,14379,76188,1.938656344,1198,77386
Suri,West Bengal,M,"61,806",,29.0798451,2.90798451,0.242332043,17973,79779,26.17186059,16175,77981,23.26387608,14378,76184,1.938656344,1198,77382
Diphu,Assam,TC,"61,797",,31.6182944,3.16182944,0.263485787,19539,81336,28.45646496,17585,79382,25.29463552,15631,77428,2.107886296,1302,78730
Jhargram,West Bengal,M,"61,712",,29.0798451,2.90798451,0.242332043,17945,79657,26.17186059,16151,77863,23.26387608,14356,76068,1.938656344,1196,77264
Shirpur-Warwade,Maharashtra,MCl,"61,694",,16.42975858,1.642975858,0.136914655,10136,71830,14.78678272,9122,70816,13.14380686,8108,69802,1.09531724,675,70477
Thrippunithura,Kerala,M,"61,632",,29.0798451,2.90798451,0.242332043,17922,79554,26.17186059,16130,77762,23.26387608,14337,75969,1.938656344,1194,77163
Thrissur,Kerala,M,"61,632",,29.0798451,2.90798451,0.242332043,17922,79554,26.17186059,16130,77762,23.26387608,14337,75969,1.938656344,1194,77163
Tilhar,Uttar Pradesh,NPP,"61,444",,31.6182944,3.16182944,0.263485787,19427,80871,28.45646496,17484,78928,25.29463552,15542,76986,2.107886296,1295,78281
Sindhnur,Karnataka,TMC,"61,262",,31.6182944,3.16182944,0.263485787,19369,80631,28.45646496,17432,78694,25.29463552,15495,76757,2.107886296,1291,78048
Udumalaipettai,Tamil Nadu,M,"61,133",,29.0798451,2.90798451,0.242332043,17777,78910,26.17186059,15999,77132,23.26387608,14221,75354,1.938656344,1185,76539
Malkapur,Maharashtra,MCl,"61,012",,16.42975858,1.642975858,0.136914655,10024,71036,14.78678272,9021,70033,13.14380686,8019,69031,1.09531724,668,69699
Wanaparthy,Telangana,M,"61,006",,29.0798451,2.90798451,0.242332043,17740,78746,26.17186059,15966,76972,23.26387608,14192,75198,1.938656344,1182,76380
Gudur,Andhra Pradesh,M,"60,854",,29.0798451,2.90798451,0.242332043,17696,78550,26.17186059,15926,76780,23.26387608,14156,75010,1.938656344,1179,76189
Kendujhar,Odisha,M,"60,791",,29.0798451,2.90798451,0.242332043,17677,78468,26.17186059,15910,76701,23.26387608,14142,74933,1.938656344,1178,76111
Mandla,Madhya Pradesh,UA,60653,,31.6182944,3.16182944,0.263485787,19177,79830,28.45646496,17259,77912,25.29463552,15341,75994,2.107886296,1278,77272
Piler,Andhra Pradesh,CT,"60,644",,31.6182944,3.16182944,0.263485787,19174,79818,28.45646496,17257,77901,25.29463552,15339,75983,2.107886296,1278,77261
Nedumangad,Kerala,M,"60,438",,29.0798451,2.90798451,0.242332043,17575,78013,26.17186059,15817,76255,23.26387608,14060,74498,1.938656344,1171,75669
Gunupur,Odisha,M,"60,254",,29.0798451,2.90798451,0.242332043,17521,77775,26.17186059,15769,76023,23.26387608,14017,74271,1.938656344,1168,75439
North Lakhimpur,Assam,MB,"59,942",,31.6182944,3.16182944,0.263485787,18952,78894,28.45646496,17057,76999,25.29463552,15162,75104,2.107886296,1263,76367
Vinukonda,Andhra Pradesh,M,"59,725",,29.0798451,2.90798451,0.242332043,17367,77092,26.17186059,15631,75356,23.26387608,13894,73619,1.938656344,1157,74776
Mandideep,Madhya Pradesh,M,"59,654",,29.0798451,2.90798451,0.242332043,17347,77001,26.17186059,15612,75266,23.26387608,13877,73531,1.938656344,1156,74687
Tiptur,Karnataka,CMC,"59,543",,31.6182944,3.16182944,0.263485787,18826,78369,28.45646496,16943,76486,25.29463552,15061,74604,2.107886296,1255,75859
Gobichettipalayam,Tamil Nadu,M,"59,523",,29.0798451,2.90798451,0.242332043,17309,76832,26.17186059,15578,75101,23.26387608,13847,73370,1.938656344,1153,74523
Dhone,Andhra Pradesh,M,"59,272",,29.0798451,2.90798451,0.242332043,17236,76508,26.17186059,15512,74784,23.26387608,13788,73060,1.938656344,1149,74209
Sunabeda,Odisha,NAC,"58,884",,31.6182944,3.16182944,0.263485787,18618,77502,28.45646496,16756,75640,25.29463552,14894,73778,2.107886296,1241,75019
Wani,Maharashtra,MCl,"58,840",,16.42975858,1.642975858,0.136914655,9667,68507,14.78678272,8700,67540,13.14380686,7733,66573,1.09531724,644,67217
Upleta,Gujarat,M,"58,775",,29.0798451,2.90798451,0.242332043,17091,75866,26.17186059,15382,74157,23.26387608,13673,72448,1.938656344,1139,73587
Narasapuram,Andhra Pradesh,M,"58,770",,29.0798451,2.90798451,0.242332043,17090,75860,26.17186059,15381,74151,23.26387608,13672,72442,1.938656344,1139,73581
Nuzvid,Andhra Pradesh,M,"58,590",,29.0798451,2.90798451,0.242332043,17037,75627,26.17186059,15334,73924,23.26387608,13630,72220,1.938656344,1135,73355
Tezpur,Assam,MB,"58,559",,31.6182944,3.16182944,0.263485787,18515,77074,28.45646496,16663,75222,25.29463552,14812,73371,2.107886296,1234,74605
Una,Gujarat,M,"58,528",,29.0798451,2.90798451,0.242332043,17019,75547,26.17186059,15317,73845,23.26387608,13615,72143,1.938656344,1134,73277
Markapur,Andhra Pradesh,M,"58,462",,29.0798451,2.90798451,0.242332043,17000,75462,26.17186059,15300,73762,23.26387608,13600,72062,1.938656344,1133,73195
Sheopur,Madhya Pradesh,UA,"58,342",,31.6182944,3.16182944,0.263485787,18446,76788,28.45646496,16602,74944,25.29463552,14757,73099,2.107886296,1229,74328
Thiruvarur,Tamil Nadu,M,"58,301",,29.0798451,2.90798451,0.242332043,16953,75254,26.17186059,15258,73559,23.26387608,13563,71864,1.938656344,1130,72994
Sidhpur,Gujarat,UA,"58,194",,31.6182944,3.16182944,0.263485787,18399,76593,28.45646496,16559,74753,25.29463552,14719,72913,2.107886296,1226,74139
Sahaswan,Uttar Pradesh,MB,"58,184",,31.6182944,3.16182944,0.263485787,18396,76580,28.45646496,16557,74741,25.29463552,14717,72901,2.107886296,1226,74127
Suratgarh,Rajasthan,M,"58,119",,29.0798451,2.90798451,0.242332043,16900,75019,26.17186059,15210,73329,23.26387608,13520,71639,1.938656344,1126,72765
Shajapur,Madhya Pradesh,UA,"57,818",,31.6182944,3.16182944,0.263485787,18281,76099,28.45646496,16452,74270,25.29463552,14624,72442,2.107886296,1218,73660
Rayagada,Odisha,M,"57,759",,29.0798451,2.90798451,0.242332043,16796,74555,26.17186059,15116,72875,23.26387608,13436,71195,1.938656344,1119,72314
Lonavla,Maharashtra,MCl,"57,698",,16.42975858,1.642975858,0.136914655,9479,67177,14.78678272,8531,66229,13.14380686,7583,65281,1.09531724,631,65912
Ponnur,Andhra Pradesh,M,"57,640",,29.0798451,2.90798451,0.242332043,16761,74401,26.17186059,15085,72725,23.26387608,13409,71049,1.938656344,1117,72166
Kagaznagar,Telangana,M,"57,583",,29.0798451,2.90798451,0.242332043,16745,74328,26.17186059,15070,72653,23.26387608,13396,70979,1.938656344,1116,72095
Bhatapara,Chhattisgarh,M,"57,537",,29.0798451,2.90798451,0.242332043,16731,74268,26.17186059,15058,72595,23.26387608,13385,70922,1.938656344,1115,72037
Kandukur,Andhra Pradesh,M,"57,246",,29.0798451,2.90798451,0.242332043,16647,73893,26.17186059,14982,72228,23.26387608,13317,70563,1.938656344,1109,71672
Sangareddy,Telangana,M,"57,113",,29.0798451,2.90798451,0.242332043,16608,73721,26.17186059,14947,72060,23.26387608,13286,70399,1.938656344,1107,71506
Unjha,Gujarat,M,"57,108",,29.0798451,2.90798451,0.242332043,16606,73714,26.17186059,14946,72054,23.26387608,13285,70393,1.938656344,1107,71500
Lunglei,Mizoram,NT,"57,011",,31.6182944,3.16182944,0.263485787,18025,75036,28.45646496,16223,73234,25.29463552,14420,71431,2.107886296,1201,72632
Karimganj,Assam,MB,"56,854",,31.6182944,3.16182944,0.263485787,17976,74830,28.45646496,16178,73032,25.29463552,14381,71235,2.107886296,1198,72433
Kannur,Kerala,M,"56,823",,29.0798451,2.90798451,0.242332043,16524,73347,26.17186059,14871,71694,23.26387608,13219,70042,1.938656344,1101,71143
Bobbili,Andhra Pradesh,M,"56,819",,29.0798451,2.90798451,0.242332043,16522,73341,26.17186059,14870,71689,23.26387608,13218,70037,1.938656344,1101,71138
Mokameh,Bihar,M,"56,615",,29.0798451,2.90798451,0.242332043,16463,73078,26.17186059,14817,71432,23.26387608,13170,69785,1.938656344,1097,70882
Talegaon Dabhade,Maharashtra,MCl,"56,435",,16.42975858,1.642975858,0.136914655,9272,65707,14.78678272,8344,64779,13.14380686,7417,63852,1.09531724,618,64470
Anjangaon,Maharashtra,MCl,"56,380",,16.42975858,1.642975858,0.136914655,9263,65643,14.78678272,8336,64716,13.14380686,7410,63790,1.09531724,617,64407
Mangrol,Gujarat,UA,"56,320",,31.6182944,3.16182944,0.263485787,17807,74127,28.45646496,16026,72346,25.29463552,14245,70565,2.107886296,1187,71752
Sunam,Punjab,UA,"56,251",,31.6182944,3.16182944,0.263485787,17785,74036,28.45646496,16007,72258,25.29463552,14228,70479,2.107886296,1185,71664
Gangarampur,West Bengal,M,"56,175",,29.0798451,2.90798451,0.242332043,16335,72510,26.17186059,14702,70877,23.26387608,13068,69243,1.938656344,1089,70332
Thiruvallur,Tamil Nadu,M,"56,074",,29.0798451,2.90798451,0.242332043,16306,72380,26.17186059,14675,70749,23.26387608,13044,69118,1.938656344,1087,70205
Pithoragarh,Uttarakhand,NPP,"56,044",,31.6182944,3.16182944,0.263485787,17720,73764,28.45646496,15948,71992,25.29463552,14176,70220,2.107886296,1181,71401
Rath,Uttar Pradesh,MB,"55,950",,31.6182944,3.16182944,0.263485787,17690,73640,28.45646496,15921,71871,25.29463552,14152,70102,2.107886296,1179,71281
Jatani,Odisha,M,"55,925",,29.0798451,2.90798451,0.242332043,16262,72187,26.17186059,14636,70561,23.26387608,13010,68935,1.938656344,1084,70019
Bellampalle,Telangana,M,"55,841",,29.0798451,2.90798451,0.242332043,16238,72079,26.17186059,14614,70455,23.26387608,12990,68831,1.938656344,1082,69913
Viramgam,Gujarat,M,"55,821",,29.0798451,2.90798451,0.242332043,16232,72053,26.17186059,14609,70430,23.26387608,12986,68807,1.938656344,1082,69889
Rajsamand,Rajasthan,M,"55,687",,29.0798451,2.90798451,0.242332043,16193,71880,26.17186059,14574,70261,23.26387608,12954,68641,1.938656344,1079,69720
Yanam,Puducherry,M,"55,626",,29.0798451,2.90798451,0.242332043,16175,71801,26.17186059,14558,70184,23.26387608,12940,68566,1.938656344,1078,69644
Kottayam,Kerala,M,"55,374",,29.0798451,2.90798451,0.242332043,16102,71476,26.17186059,14492,69866,23.26387608,12882,68256,1.938656344,1073,69329
Panruti,Tamil Nadu,M,"55,346",,29.0798451,2.90798451,0.242332043,16094,71440,26.17186059,14485,69831,23.26387608,12875,68221,1.938656344,1072,69293
Dhuri,Punjab,MCl,"55,225",,16.42975858,1.642975858,0.136914655,9073,64298,14.78678272,8166,63391,13.14380686,7258,62483,1.09531724,604,63087
Challakere,Karnataka,CMC,"55,194",,31.6182944,3.16182944,0.263485787,17451,72645,28.45646496,15706,70900,25.29463552,13961,69155,2.107886296,1163,70318
Namakkal,Tamil Nadu,M,"55,145",,31.6182944,3.16182944,0.263485787,17435,72580,28.45646496,15692,70837,25.29463552,13948,69093,2.107886296,1162,70255
Ramnagar,Uttarakhand,NPP,"54,787",,31.6182944,3.16182944,0.263485787,17322,72109,28.45646496,15590,70377,25.29463552,13858,68645,2.107886296,1154,69799
Sidhi,Madhya Pradesh,M,"54,331",,29.0798451,2.90798451,0.242332043,15799,70130,26.17186059,14219,68550,23.26387608,12639,66970,1.938656344,1053,68023
Kasaragod,Kerala,M,"54,172",,29.0798451,2.90798451,0.242332043,15753,69925,26.17186059,14177,68349,23.26387608,12602,66774,1.938656344,1050,67824
Modasa,Gujarat,M,"54,135",,29.0798451,2.90798451,0.242332043,15742,69877,26.17186059,14168,68303,23.26387608,12593,66728,1.938656344,1049,67777
Rayadurg,Andhra Pradesh,M,"54,125",,29.0798451,2.90798451,0.242332043,15739,69864,26.17186059,14165,68290,23.26387608,12591,66716,1.938656344,1049,67765
Supaul,Bihar,M,"54,085",,29.0798451,2.90798451,0.242332043,15727,69812,26.17186059,14155,68240,23.26387608,12582,66667,1.938656344,1048,67715
Kunnamkulam,Kerala,M,"54,071",,29.0798451,2.90798451,0.242332043,15723,69794,26.17186059,14151,68222,23.26387608,12579,66650,1.938656344,1048,67698
Umred,Maharashtra,MCl,"53,971",,16.42975858,1.642975858,0.136914655,8867,62838,14.78678272,7980,61951,13.14380686,7093,61064,1.09531724,591,61655
Sibsagar,Assam,MB,"53,854",,31.6182944,3.16182944,0.263485787,17027,70881,28.45646496,15324,69178,25.29463552,13622,67476,2.107886296,1135,68611
Mandi Dabwali,Haryana,MC,"53,811",,11.42467203,1.142467203,0.0952056,6147,59958,10.28220483,5532,59343,9.139737624,4918,58729,0.7616448,409,59138
Ottappalam,Kerala,M,"53,792",,29.0798451,2.90798451,0.242332043,15642,69434,26.17186059,14078,67870,23.26387608,12514,66306,1.938656344,1042,67348
Dumraon,Bihar,NAC,"53,618",,31.6182944,3.16182944,0.263485787,16953,70571,28.45646496,15257,68875,25.29463552,13562,67180,2.107886296,1130,68310
Samalkot,Andhra Pradesh,M,"53,602",,29.0798451,2.90798451,0.242332043,15587,69189,26.17186059,14028,67630,23.26387608,12469,66071,1.938656344,1039,67110
Jaggaiahpet,Andhra Pradesh,M,"53,530",,29.0798451,2.90798451,0.242332043,15566,69096,26.17186059,14009,67539,23.26387608,12453,65983,1.938656344,1037,67020
Goalpara,Assam,MB,"53,430",,31.6182944,3.16182944,0.263485787,16893,70323,28.45646496,15204,68634,25.29463552,13514,66944,2.107886296,1126,68070
Tuni,Andhra Pradesh,M,"53,425",,29.0798451,2.90798451,0.242332043,15535,68960,26.17186059,13982,67407,23.26387608,12428,65853,1.938656344,1035,66888
Lachhmangarh,Rajasthan,M,"53,392",,29.0798451,2.90798451,0.242332043,15526,68918,26.17186059,13973,67365,23.26387608,12421,65813,1.938656344,1035,66848
Bhongir,Telangana,M,"53,339",,29.0798451,2.90798451,0.242332043,15510,68849,26.17186059,13959,67298,23.26387608,12408,65747,1.938656344,1034,66781
Amalapuram,Andhra Pradesh,M,"53,231",,31.6182944,3.16182944,0.263485787,16830,70061,28.45646496,15147,68378,25.29463552,13464,66695,2.107886296,1122,67817
Firozpur Cantt,Punjab,CB,"53,199",,31.6182944,3.16182944,0.263485787,16820,70019,28.45646496,15138,68337,25.29463552,13456,66655,2.107886296,1121,67776
Vikarabad,Telangana,M,"53,143",,29.0798451,2.90798451,0.242332043,15453,68596,26.17186059,13908,67051,23.26387608,12363,65506,1.938656344,1030,66536
Manglaur,Uttarakhand,NPP,"52,971",,31.6182944,3.16182944,0.263485787,16748,69719,28.45646496,15073,68044,25.29463552,13398,66369,2.107886296,1116,67485
Thiruvalla,Kerala,M,"52,883",,29.0798451,2.90798451,0.242332043,15378,68261,26.17186059,13840,66723,23.26387608,12302,65185,1.938656344,1025,66210
Sherkot,Uttar Pradesh,MB,"52,880",,31.6182944,3.16182944,0.263485787,16719,69599,28.45646496,15047,67927,25.29463552,13375,66255,2.107886296,1114,67369
Palghar,Maharashtra,MCl,"52,677",,16.42975858,1.642975858,0.136914655,8654,61331,14.78678272,7789,60466,13.14380686,6923,59600,1.09531724,576,60176
Shegaon,Maharashtra,MCl,"52,423",,16.42975858,1.642975858,0.136914655,8612,61035,14.78678272,7751,60174,13.14380686,6890,59313,1.09531724,574,59887
Jangaon,Telangana,M,"52,394",,29.0798451,2.90798451,0.242332043,15236,67630,26.17186059,13712,66106,23.26387608,12188,64582,1.938656344,1015,65597
Bheemunipatnam,Andhra Pradesh,M,"52,110",,29.0798451,2.90798451,0.242332043,15153,67263,26.17186059,13638,65748,23.26387608,12122,64232,1.938656344,1010,65242
Panna,Madhya Pradesh,UA,"52,057",,31.6182944,3.16182944,0.263485787,16459,68516,28.45646496,14813,66870,25.29463552,13167,65224,2.107886296,1097,66321
Thodupuzha,Kerala,M,"52,045",,29.0798451,2.90798451,0.242332043,15134,67179,26.17186059,13621,65666,23.26387608,12107,64152,1.938656344,1008,65160
Kathua,Jammu and Kashmir,MCl,"51,991",,16.42975858,1.642975858,0.136914655,8541,60532,14.78678272,7687,59678,13.14380686,6833,58824,1.09531724,569,59393
Palitana,Gujarat,M,"51,944",,29.0798451,2.90798451,0.242332043,15105,67049,26.17186059,13594,65538,23.26387608,12084,64028,1.938656344,1007,65035
Arwal,Bihar,NP,"51,849",,31.6182944,3.16182944,0.263485787,16393,68242,28.45646496,14754,66603,25.29463552,13115,64964,2.107886296,1092,66056
Venkatagiri,Andhra Pradesh,M,"51,708",,29.0798451,2.90798451,0.242332043,15036,66744,26.17186059,13532,65240,23.26387608,12029,63737,1.938656344,1002,64739
Kalpi,Uttar Pradesh,NPP,"51,670",,31.6182944,3.16182944,0.263485787,16337,68007,28.45646496,14703,66373,25.29463552,13069,64739,2.107886296,1089,65828
Rajgarh (Churu),Rajasthan,UA,"51,640",,31.6182944,3.16182944,0.263485787,16327,67967,28.45646496,14694,66334,25.29463552,13062,64702,2.107886296,1088,65790
Sattenapalle,Andhra Pradesh,M,"51,404",,29.0798451,2.90798451,0.242332043,14948,66352,26.17186059,13453,64857,23.26387608,11958,63362,1.938656344,996,64358
Arsikere,Karnataka,TMC,"51,336",,31.6182944,3.16182944,0.263485787,16231,67567,28.45646496,14608,65944,25.29463552,12985,64321,2.107886296,1082,65403
Ozar,Maharashtra,CT,"51,297",,31.6182944,3.16182944,0.263485787,16219,67516,28.45646496,14597,65894,25.29463552,12975,64272,2.107886296,1081,65353
Thirumangalam,Tamil Nadu,M,"51,194",,29.0798451,2.90798451,0.242332043,14887,66081,26.17186059,13398,64592,23.26387608,11909,63103,1.938656344,992,64095
Petlad,Gujarat,M,"51,147",,29.0798451,2.90798451,0.242332043,14873,66020,26.17186059,13386,64533,23.26387608,11898,63045,1.938656344,991,64036
Sri Madhopur,Rajasthan,M,"51,000",,29.0798451,2.90798451,0.242332043,14830,65830,26.17186059,13347,64347,23.26387608,11864,62864,1.938656344,988,63852
Nasirabad,Rajasthan,CB,"50,804",,31.6182944,3.16182944,0.263485787,16063,66867,28.45646496,14457,65261,25.29463552,12850,63654,2.107886296,1070,64724
Phaltan,Maharashtra,MCl,"50,800",,16.42975858,1.642975858,0.136914655,8346,59146,14.78678272,7511,58311,13.14380686,6677,57477,1.09531724,556,58033
Rampurhat,West Bengal,M,"50,613",,29.0798451,2.90798451,0.242332043,14718,65331,26.17186059,13246,63859,23.26387608,11774,62387,1.938656344,981,63368
Nanjangud,Karnataka,TMC,"50,598",,31.6182944,3.16182944,0.263485787,15998,66596,28.45646496,14398,64996,25.29463552,12798,63396,2.107886296,1066,64462
Jaspur,Uttarakhand,NPP,"50,523",,31.6182944,3.16182944,0.263485787,15974,66497,28.45646496,14377,64900,25.29463552,12779,63302,2.107886296,1064,64366
Forbesganj,Bihar,M,"50,475",,29.0798451,2.90798451,0.242332043,14678,65153,26.17186059,13210,63685,23.26387608,11742,62217,1.938656344,978,63195
Tundla,Uttar Pradesh,NPP,"50,423",,31.6182944,3.16182944,0.263485787,15942,66365,28.45646496,14348,64771,25.29463552,12754,63177,2.107886296,1062,64239
Bhabua,Bihar,NP,"50,179",,31.6182944,3.16182944,0.263485787,15865,66044,28.45646496,14279,64458,25.29463552,12692,62871,2.107886296,1057,63928
Sagara,Karnataka,TMC,"50,131",,31.6182944,3.16182944,0.263485787,15850,65981,28.45646496,14265,64396,25.29463552,12680,62811,2.107886296,1056,63867
Pithapuram,Andhra Pradesh,M,"50,103",,29.0798451,2.90798451,0.242332043,14569,64672,26.17186059,13112,63215,23.26387608,11655,61758,1.938656344,971,62729
Sira,Karnataka,TMC,"50,088",,31.6182944,3.16182944,0.263485787,15836,65924,28.45646496,14253,64341,25.29463552,12669,62757,2.107886296,1055,63812
Bhadrachalam,Telangana,CT,"50,087",,31.6182944,3.16182944,0.263485787,15836,65923,28.45646496,14252,64339,25.29463552,12669,62756,2.107886296,1055,63811
Barbigha,Bihar,Np,"50,080",,31.6182944,3.16182944,0.263485787,15834,65914,28.45646496,14250,64330,25.29463552,12667,62747,2.107886296,1055,63802
Charkhi Dadri,Haryana,NPP,"49,985",,31.6182944,3.16182944,0.263485787,15804,65789,28.45646496,14223,64208,25.29463552,12643,62628,2.107886296,1053,63681
Chatra,Jharkhand,M,"49,985",,29.0798451,2.90798451,0.242332043,14535,64520,26.17186059,13082,63067,23.26387608,11628,61613,1.938656344,969,62582
Palasa Kasibugga,Andhra Pradesh,NP,"49,899",,31.6182944,3.16182944,0.263485787,15777,65676,28.45646496,14199,64098,25.29463552,12621,62520,2.107886296,1051,63571
